model_a,model_b,b,c,risk_diff_pp,ci_lo,ci_hi,p_exact,p_holm,significant
GPT-4o-mini,GPT-4o,3,21,-9.73,-14.73,-4.73,0.0002771615982055664,0.0036031007766723633,yes
GPT-4o-mini,GPT-5.6-sol,2,42,-21.62,-27.92,-15.32,1.1266365618212149e-10,2.2532731236424297e-09,yes
GPT-4o-mini,Claude Haiku 4.5,1,37,-19.46,-25.36,-13.56,2.837623469531536e-10,5.391484592109919e-09,yes
GPT-4o-mini,Claude Sonnet 4.5,2,35,-17.84,-23.75,-11.93,1.0244548320770264e-08,1.8440186977386475e-07,yes
GPT-4o-mini,Claude Sonnet 5,0,40,-21.62,-27.55,-15.69,1.8189894035458565e-12,3.8198777474462986e-11,yes
GPT-4o-mini,Gemini 2.5 Flash,2,28,-14.05,-19.49,-8.62,8.67992639541626e-07,1.3887882232666016e-05,yes
GPT-4o,GPT-5.6-sol,1,23,-11.89,-16.79,-6.99,2.9802322387695312e-06,4.470348358154297e-05,yes
GPT-4o,Claude Haiku 4.5,3,21,-9.73,-14.73,-4.73,0.0002771615982055664,0.0036031007766723633,yes
GPT-4o,Claude Sonnet 4.5,4,19,-8.11,-13.05,-3.16,0.002599477767944336,0.02599477767944336,yes
GPT-4o,Claude Sonnet 5,0,22,-11.89,-16.56,-7.23,4.76837158203125e-07,8.106231689453125e-06,yes
GPT-4o,Gemini 2.5 Flash,5,13,-4.32,-8.78,0.13,0.09625244140625,0.5775146484375,no
GPT-5.6-sol,Claude Haiku 4.5,6,2,2.16,-0.82,5.14,0.2890625,1.0,no
GPT-5.6-sol,Claude Sonnet 4.5,9,2,3.78,0.31,7.25,0.0654296875,0.4580078125,no
GPT-5.6-sol,Claude Sonnet 5,2,2,0.0,-2.12,2.12,1.0,1.0,no
GPT-5.6-sol,Gemini 2.5 Flash,16,2,7.57,3.21,11.93,0.001312255859375,0.014434814453125,yes
Claude Haiku 4.5,Claude Sonnet 4.5,7,4,1.62,-1.88,5.13,0.548828125,1.0,no
Claude Haiku 4.5,Claude Sonnet 5,2,6,-2.16,-5.14,0.82,0.2890625,1.0,no
Claude Haiku 4.5,Gemini 2.5 Flash,12,2,5.41,1.52,9.29,0.012939453125,0.116455078125,no
Claude Sonnet 4.5,Claude Sonnet 5,1,8,-3.78,-6.91,-0.65,0.0390625,0.3125,no
Claude Sonnet 4.5,Gemini 2.5 Flash,11,4,3.78,-0.28,7.85,0.11846923828124999,0.5923461914062499,no
Claude Sonnet 5,Gemini 2.5 Flash,14,0,7.57,3.76,11.38,0.0001220703125,0.001708984375,yes
