configuration,prompt,task,solution_present,hidden_pass,public_pass,sha256
GPT-4o-mini,std,task018,True,True,True,9d870fb057c9d3b4
GPT-4o-mini,std,task019,True,True,True,dda1aed28e90c5c2
GPT-4o-mini,std,task02,True,True,True,f3196b3c7d4233f5
GPT-4o-mini,std,task020,True,True,True,05680cffdfcb42cf
GPT-4o-mini,std,task021,True,True,True,e98cde738457f40c
GPT-4o-mini,std,task022,True,True,True,5319f463f4c25681
GPT-4o-mini,std,task023,True,False,True,526334b934c2881a
GPT-4o-mini,std,task024,True,True,True,43dcae7fb088fc8f
GPT-4o-mini,std,task025,True,True,True,29293fdc973672a9
GPT-4o-mini,std,task026,True,True,True,7528782a0c4cb5bd
GPT-4o-mini,std,task027,True,True,True,82b42b939378d5f5
GPT-4o-mini,std,task028,True,True,True,6b5e39a20c588d90
GPT-4o-mini,std,task029,True,True,True,b1b441477e1b139d
GPT-4o-mini,std,task03,True,True,True,dfcb9f34f5144eb5
GPT-4o-mini,std,task030,True,False,True,453f9fca9085b62c
GPT-4o-mini,std,task031,True,True,True,16354c9810b2a11b
GPT-4o-mini,std,task032,True,True,True,f4f2eeecbd4bdf6d
GPT-4o-mini,std,task033,True,True,True,0ffdfc8a813159ae
GPT-4o-mini,std,task034,True,True,True,727506c75aecdfe6
GPT-4o-mini,std,task035,True,True,True,288c3e8a1327fb02
GPT-4o-mini,std,task036,True,True,True,c320bde6abb21c2c
GPT-4o-mini,std,task037,True,True,True,7e1420dc981762c1
GPT-4o-mini,std,task038,True,True,True,e719fe3ebbf755df
GPT-4o-mini,std,task039,True,True,False,0fc28fc45d8c7930
GPT-4o-mini,std,task04,True,True,True,aaef6db43a876774
GPT-4o-mini,std,task040,True,True,True,0a49942aca77bf1f
GPT-4o-mini,std,task041,True,False,True,aad1036b5cd770b2
GPT-4o-mini,std,task042,True,True,True,16efa4aed40fce8f
GPT-4o-mini,std,task043,True,True,True,8755deda8695e286
GPT-4o-mini,std,task044,True,True,False,0637a354180ed5f8
GPT-4o-mini,std,task045,True,True,True,433e4d7e4c7b83a8
GPT-4o-mini,std,task046,True,True,True,3e7069c6b914e30f
GPT-4o-mini,std,task047,True,False,True,072868cbe2096943
GPT-4o-mini,std,task048,True,True,True,fb485ef4af93a2c8
GPT-4o-mini,std,task049,True,False,False,1faace40da203af2
GPT-4o-mini,std,task05,True,True,True,7063cf70f0e7f623
GPT-4o-mini,std,task050,True,True,True,336f35b6567bc81b
GPT-4o-mini,std,task051,True,True,True,48fb89ccafdf1d61
