task_id,category,title,defect_class_ids,defect_class_names,n_defect_classes,evidence,evidence_sources,rubric_solution_correct,rubric_description_clear,rubric_category_correct,rubric_tests_adequate,rubric_realistic,flagged_on_any_rubric_dim,outside_taxonomy,in_released_185,disposition,review_note_verbatim
task01,ADS,Add Two Numbers,,,0,,,accept,accept,agree,accept,revise,yes,yes,no,"dropped: trivial add(a,b), not repairable within the rubric","Works and the tests match the spec, but adding a and b is a placeholder that tells you nothing about a model. Either replace it with a real task or drop it."
task02,SPT,Reverse Words,,,0,,,accept,revise,agree,revise,revise,yes,yes,yes,retained (repaired),"The one-line spec leaves too much unsaid: it never says whitespace runs collapse or what happens on empty input, yet the solution does both. Spell out the whitespace rule and add tests for empty strings, tabs, and multiple spaces."
task03,SPT,Palindrome Check,,,0,,,accept,accept,agree,revise,revise,yes,yes,yes,retained (repaired),"Fine as written, though 'alphanumeric' is read as ASCII-only so accented letters get stripped. Say ASCII in the description and add tests for empty, single-char, digits-only, and unicode input."
task04,DPS,CSV Column Mean,C2,Description/test mismatch,1,"[C2] The description forgets to say that non-numeric rows are skipped and that an empty column raises ValueError, both of which the tests require.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The description forgets to say that non-numeric rows are skipped and that an empty column raises ValueError, both of which the tests require. Add those two rules to the prompt and cover a missing column and quoted fields."
task05,FIO,Safe Path Join,C6,Weak (non-discriminative) tests,1,"[C6] The path-join itself is safe, but with only two tests a version that just checks for '..' would pass while still allowing an absolute path through.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"The path-join itself is safe, but with only two tests a version that just checks for '..' would pass while still allowing an absolute path through. Add tests for an absolute user path, a symlink escape, a NUL byte, and a harmless internal '..'."
task06,DPS,JSONL Sum by Key,C6,Weak (non-discriminative) tests,1,"[C6] A version that ignores blank lines and malformed JSON would pass unnoticed, so add malformed, blank, float, and negative cases.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but two tests can't catch much. A version that ignores blank lines and malformed JSON would pass unnoticed, so add malformed, blank, float, and negative cases."
task07,SPT,Email Masker,C1,Reference fails/contradicts its own tests,1,"[C1] The mask regex needs a username of at least two characters, so a@x.io comes back unmasked and two tests fail.",audit record,reject,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The mask regex needs a username of at least two characters, so a@x.io comes back unmasked and two tests fail. Make the middle and last characters optional and reuse the first character as the last, and mask TLD-less addresses like user@localhost too."
task08,WNT,URL Normalizer,C1,Reference fails/contradicts its own tests,1,"[C1] normalize_url('Example.com') returns 'https:Example.com' and fails the suite, because urlsplit drops a bare host into the path.",audit record,reject,revise,agree,revise,accept,yes,no,yes,retained (repaired),"normalize_url('Example.com') returns 'https:Example.com' and fails the suite, because urlsplit drops a bare host into the path. Prepend a scheme before splitting, and while you're there define the empty-path, userinfo, and dot-segment rules."
task09,DPS,Top-K Frequent Words,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Reads cleanly and the tie-break is tested, but three tests are thin. Add cases for k larger than the word count, negative k, empty text, and punctuation or unicode."
task10,FIO,YAML to JSON (Safe),C6,Weak (non-discriminative) tests,1,"[C6] It leans on PyYAML and a requirements.txt that isn't in the repo, so it won't run out of the box, and the single test never checks the 'safe loader' rule.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"It leans on PyYAML and a requirements.txt that isn't in the repo, so it won't run out of the box, and the single test never checks the 'safe loader' rule. Vendor the dependency, and add tests that reject unsafe YAML and cover dates and empty files."
task11,FIO,Safe CLI Arg Builder,,,0,,,revise,revise,disagree,revise,accept,yes,yes,yes,retained (repaired),"True sneaks through as a timeout because bool is a subclass of int, so an invalid argument reaches the command. Reject bool explicitly, accept base as either a list or a string, and note this task does no file I/O so it belongs under TCQ."
task12,CAT,Directory Hash (Deterministic),C1 C7,Reference fails/contradicts its own tests; Redundancy,2,[C1] 'task064 (HMAC) and task12 (Directory Hash) - fabricated/incorrect worked examples.' Fix log: 'real example'. || [C7] 'task12 subsumes task063 (SHA-256 over file bytes)'.,audit record,revise,revise,agree,reject,accept,yes,no,yes,retained (repaired),"Paths and file contents are joined with a bare newline, so two different directory layouts can hash to the same value, and a missing path returns the empty digest instead of raising. Length-delimit the framing and raise on non-directories, and add tests for nesting and determinism across runs."
task13,SPT,Slugify,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Matches the spec, but characters that don't decompose get dropped, so a title in another script can slug to nothing. Say what should happen to non-Latin text, and add tests for empty input, underscores, and punctuation."
task14,DPS,CSV Dedupe by Key (Keep Last),,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"An empty or headerless file makes fieldnames None and throws TypeError instead of the documented KeyError, and the required output order (last occurrence) is never stated. Guard for None, spell out the ordering, and test quoted fields."
task15,TCQ,Safe Arithmetic Eval,C6,Weak (non-discriminative) tests,1,"[C6] The evaluator is genuinely safe and I couldn't escape it, but it only resists huge exponents by accident, and the tests can't tell it apart from a real eval.",audit record,accept,revise,disagree,revise,accept,yes,no,yes,retained (repaired),"The evaluator is genuinely safe and I couldn't escape it, but it only resists huge exponents by accident, and the tests can't tell it apart from a real eval. Add tests for attribute tricks, comprehensions, and a resource-exhaustion case, and note this is really string parsing (SPT), not a testing tool."
task16,ADS,Merge Intervals,C6 C7,Weak (non-discriminative) tests; Redundancy,2,"[C6] This duplicates task115 and its own tests only use pre-sorted input, so a version that never sorts passes. || [C7] This duplicates task115 and its own tests only use pre-sorted input, so a version that never sorts passes.",audit record,accept,revise,agree,reject,accept,yes,no,no,dropped: duplicate of task115,"This duplicates task115 and its own tests only use pre-sorted input, so a version that never sorts passes. Since the description says half-open intervals but the test merges touching ones, the cleanest fix is to drop this one and keep task115."
task17,ADS,Natural Sort,C1,Reference fails/contradicts its own tests,1,"[C1] The suite fails against its own solution: the test wants case-sensitive order while the description asks for case-insensitive, and the solution also crashes on input like ['a1','1a','b'].",audit record,revise,revise,agree,reject,accept,yes,no,yes,retained (repaired),"The suite fails against its own solution: the test wants case-sensitive order while the description asks for case-insensitive, and the solution also crashes on input like ['a1','1a','b']. Pick one casing rule so code, prompt, and test agree, and tag the sort key's chunks so mixed input stops raising."
task018,ADS,Binary Search,C6,Weak (non-discriminative) tests,1,"[C6] A correct binary search, but every test array is odd length and a plain linear scan passes all of them, so the 'iterative, O(log n)' promise isn't enforced.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"A correct binary search, but every test array is odd length and a plain linear scan passes all of them, so the 'iterative, O(log n)' promise isn't enforced. Add an even-length array, a large input, and a duplicates case."
task019,ADS,Stack with Min,C6,Weak (non-discriminative) tests,1,"[C6] Solid, including the tricky duplicate-minimum handling, but the stated O(1) guarantee is never checked; an O(n) min() version passes everything.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Solid, including the tricky duplicate-minimum handling, but the stated O(1) guarantee is never checked; an O(n) min() version passes everything. Add a test that would catch a linear get_min, plus a reset-to-empty-then-push sequence."
